id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
2083742247661547832,"📢 Actualización sobre el reclutamiento de QNN

¡Muchas gracias a todas las personas que ya enviaron su solicitud para formar parte del equipo! 💛

Queremos informarles que ya hemos comenzado a revisar todas las postulaciones y actualmente nos encontramos en el proceso de selección de los nuevos integrantes.

A quienes resulten seleccionados los estaremos contactando muy pronto.

Si aún no has enviado tu solicitud y te gustaría unirte al equipo de QNN, todavía puedes postularte aquí:

https://t.co/BMRbvWylb2

¡Gracias por el interés y por querer ayudar a seguir documentando la historia del QSMP! 📰",https://x.com/QNNbreaking/status/2083742247661547832,tweet,QSMP News Network (QNN),@QNNbreaking,0,0,11,88,71250,6,2026-08-01 22:30:40,,
2074356817694535680,"🗞️ QNN — ISLA QSMP
🔎 INVESTIGACIÓN

Se reporta que Q!YoungMulti sostuvo una extensa reunión con Cucurucho para compartir información sobre diversos acontecimientos recientes dentro de la isla.

Según los reportes, la conversación comenzó cuando Cucurucho reveló que algo extraño estaba ocurriendo con sus habilidades, ya que había notado que ya no podía teletransportarse con la facilidad con la que normalmente lo hacía. Ante esta situación, comentó que necesitaba investigar el origen del problema.

Durante la reunión, Cucurucho también mostró a Q!YoungMulti varias entidades que, según sus sospechas, estarían relacionadas con Dark Cucurucho.

Por su parte, Q!YoungMulti aprovechó la conversación para compartir toda la información que había reunido sobre distintos habitantes de la isla. De acuerdo con lo observado, informó a Cucurucho que Q!Foolish era el responsable de construir el templo utilizado por Dark Cucurucho y señaló a Q!Ewron como uno de sus principales colaboradores.

Según los reportes, Q!YoungMulti incluso reprodujo un audio donde Q!Ewron afirmaba trabajar para Dark Cucurucho. Además, aseguró que Q!Ewron podría ocultar información importante dentro de su iglesia, lo señaló como responsable del sacrificio de Q!Nexe y recordó que también participó junto a Q!Quackity en la destrucción de la estatua de Cucurucho.

Como parte de la investigación, Q!YoungMulti llevó personalmente a Cucurucho al Zabka y al casino pertenecientes a Q!Ewron, continuando allí con las explicaciones sobre todo lo que conocía acerca de sus actividades.

Por el momento, se desconoce qué medidas tomará Cucurucho tras recibir esta información o si iniciará una investigación formal contra Q!Ewron y los demás habitantes mencionados.

⚠️ Nota: Los eventos reportados forman parte del lore o roleplay dentro del servidor QSMP.",https://x.com/QNNbreaking/status/2074356817694535680,tweet,QSMP News Network (QNN),@QNNbreaking,1,1,22,285,6306,16,2026-07-07 00:56:19,https://pbs.twimg.com/media/HMmYg1JXgAA1ROV.png,
2074208782146760817,"📢 ¡QNN está buscando nuevos integrantes!

¿Te gusta seguir el lore del QSMP? ¿Disfrutas redactar, resumir acontecimientos y mantener informada a la comunidad?

¡Esta es tu oportunidad de formar parte del equipo de QNN!

Estamos buscando personas responsables, activas y con ganas de ayudar a cubrir las noticias del QSMP.

📝 Puedes postularte aquí:
https://t.co/VRswaEuOLi

Aprovecharemos el mes en el que el servidor permanecerá cerrado para revisar todas las solicitudes, realizar la selección de nuevos integrantes y prepararnos para el regreso del QSMP.

¡Nos encantaría contar contigo para seguir escribiendo la historia de la isla! 💛",https://x.com/QNNbreaking/status/2074208782146760817,tweet,QSMP News Network (QNN),@QNNbreaking,0,2,29,135,6158,11,2026-07-06 15:08:05,,
2074028908115095774,"🗞️ QNN — ISLA QSMP
🔎 INVESTIGACIÓN

Se reporta que Q!Quackity comenzó a cumplir las primeras misiones encomendadas por Dark Cucurucho después de aceptar trabajar para él.

Según los reportes, su primera tarea consistía en infiltrarse en una instalación secreta de la Federación para rescatar a una entidad llamada Colmena, ya que Dark Cucurucho aseguró ver un gran potencial en ella. Para la misión, Q!Quackity fue acompañado por un trabajador de Dark Cucurucho y utilizó una poción de invisibilidad para ingresar sin ser detectado.

Durante la infiltración, Q!Quackity descubrió diversas instalaciones donde la Federación mantiene experimentos. Entre los hallazgos más inquietantes se encontraba una enorme pantalla donde aparecía él mismo clasificado como un ""Experimento"", acompañado de un análisis psicológico elaborado por la Federación sobre su comportamiento, estado emocional y cooperación. Más adelante también encontró otra pantalla dedicada a Colmena.

Finalmente, Q!Quackity logró localizar a Colmena, quien permanecía encerrada en una habitación repleta de abejas y visiblemente confundida. Tras rescatarla, la llevó hasta el templo de Dark Cucurucho, aunque antes decidió incluirla dentro de la lista de personas que prometió proteger, asegurando que empatizaba con ella al verla tratada como un experimento, al igual que él. Aunque la misión fue completada, Q!Quackity no cumplió uno de los objetivos secundarios: destruir las instalaciones con TNT, admitiendo que simplemente lo olvidó durante la operación.

Poco después recibió otra misión.

De acuerdo con lo observado, Dark Cucurucho le ordenó infiltrarse en la residencia de Cucurucho para recuperar un objeto conocido como el Teleport Universal, además de cualquier otro artefacto importante que pudiera encontrar. Nuevamente acompañado por un trabajador de Dark Cucurucho e invisibilizado, Q!Quackity consiguió acceder a una sala secreta donde encontró documentos, grabaciones y varios dispositivos de teletransporte.

Según los reportes, entre todos ellos logró recuperar el Teleport Universal y entregárselo a Dark Cucurucho, quien se mostró sorprendido al confirmar que el artefacto realmente existía. La entidad explicó que dicho dispositivo permitiría viajar a cualquier lugar, momento o época, y reveló que utilizaría tanto el teletransportador como el ADN de Mr. Bunny —recuperado previamente por Q!Quackity— para infiltrarse en las instalaciones de la Federación transformándolo en una copia del cercano aliado de Cucurucho.

Durante la conversación final, Q!Quackity propuso un plan aún más extremo: permitir que Dark Cucurucho implantara un explosivo en su cuerpo para acercarse a Cucurucho y sacrificarse con tal de acabar también con él.

Aunque Dark Cucurucho advirtió que el plan significaría la muerte de Q!Quackity, este respondió que no le importaba si con ello lograba eliminar a Cucurucho. Tras escuchar su propuesta, Dark Cucurucho aceptó y confirmó que comenzarán a preparar la operación.

⚠️ Nota: Los eventos reportados forman parte del lore o roleplay dentro del servidor QSMP.",https://x.com/QNNbreaking/status/2074028908115095774,tweet,QSMP News Network (QNN),@QNNbreaking,3,1,38,291,5628,36,2026-07-06 03:13:19,"https://pbs.twimg.com/media/HMhuGmRXUAAGle5.jpg,https://pbs.twimg.com/media/HMhuRxaW8AAhq69.png",
2072191858390798734,"🗞️ QNN — ISLA QSMP
💕 RELACIONES
Se reporta que Q!Fit sorprendió a Q!Pac con una propuesta de matrimonio, marcando el inicio de lo que será la próxima boda celebrada en la isla.

Según los reportes, días antes Q!Fit había hablado con Q!Foolish para expresarle su intención de casarse con Q!Pac, explicándole que el matrimonio también significaría convertirse oficialmente en parte de The North al unirse con uno de sus príncipes.

De acuerdo con lo observado, Q!Fit preparó una cita en un lugar especialmente decorado para la ocasión. Bajo un cielo estrellado y en un ambiente romántico, recordó el tiempo en que creyó haber perdido a Q!Pac y lo feliz que era de poder seguir compartiendo tiempo con él ahora que estaban nuevamente juntos.

Fue entonces cuando, dirigiéndose a Q!Pac en portugués, le hizo la gran pregunta:

💬 ""Eu te amo. Quer casar comigo?""

Q!Pac, visiblemente emocionado, respondió que sí sin dudar un solo instante.

Con la propuesta aceptada, todo apunta a que la isla se prepara para celebrar una nueva boda, la cual unirá oficialmente a Q!Fit y Q!Pac como esposos y convertirá a Q!Fit en un nuevo integrante de la familia de The North.

⚠️ Nota: Los eventos reportados forman parte del lore o roleplay dentro del servidor QSMP.",https://x.com/QNNbreaking/status/2072191858390798734,tweet,QSMP News Network (QNN),@QNNbreaking,0,1,100,838,9157,58,2026-07-01 01:33:33,"https://pbs.twimg.com/media/HMHnB2yXsAA1fm5.png,https://pbs.twimg.com/media/HMHnEXTXMAAJBfT.png",
2072189917044629849,"🗞️ QNN — ISLA QSMP
🚨 ALERTA

Se reporta que Q!Quackity fue puesto nuevamente bajo arresto por Cucurucho tras ser señalado como uno de los responsables de destruir la estatua de la Federación junto a Q!Ewron.

Según los reportes, como castigo fue trasladado de regreso a la Isla Quesadilla, la primera isla donde permaneció cautivo años atrás y donde sufrió diversos episodios de tortura psicológica por parte de la Federación. De acuerdo con lo observado, durante su nuevo cautiverio volvió a ser sometido a métodos similares antes de recibir la inesperada visita de Dark Cucurucho.

La entidad le ofreció escapar a cambio de trabajar para él. Según los reportes, Dark Cucurucho aseguró que su objetivo es destruir a Cucurucho, quien es su hermano y responsable de haberlo traicionado en el pasado. Como parte del trato, afirmó que permanecería dentro de Q!Quackity, observando todo lo que viera y escuchara para planear sus siguientes movimientos. Tras darle una misteriosa sopa, Q!Quackity regresó a la isla convertido en un nuevo aliado de Dark Cucurucho.

Su primera misión consistió en infiltrarse en el barco donde originalmente llegaron los habitantes del QSMP. De acuerdo con lo observado, debía localizar una habitación secreta utilizada por la Federación, reunir pruebas de su existencia y destruirla por completo.

Q!Quackity logró encontrar la sala, ignoró las cámaras de vigilancia e incluso las saludó en tono de burla antes de detonar explosivos que destruyeron la instalación. Inmediatamente después huyó hacia el templo que Q!Foolish ha estado construyendo para Dark Cucurucho, mientras era perseguido por Cucurucho, quien exigía que se entregara.

Al llegar al templo, Q!Foolish se mostró completamente desconcertado por la situación. Sin entender lo que ocurría, ayudó a Q!Quackity a escapar a través de un portal al Nether después de recibir un mensaje de Cucurucho ordenándole que no lo hiciera.

Un trabajador de Dark Cucurucho explicó a Q!Foolish que Q!Quackity ahora formaba parte de su organización. También le advirtió que el templo había quedado comprometido y que la Federación ya conocía su ubicación, por lo que le recomendó ocultar cualquier evidencia de su relación con Dark Cucurucho antes de la llegada de los guardias.

Momentos después, varios trabajadores de la Federación llegaron al templo e interrogaron a ambos habitantes, buscando pruebas que los vincularan con Dark Cucurucho. Incluso intentaron documentar el uso del portal al Nether como evidencia. Durante la inspección, Q!Quackity aprovechó un descuido para escapar nuevamente a través del portal, seguido poco después por Q!Foolish.

La inspección concluyó con una advertencia por parte de la Federación. Según los reportes, los guardias informaron que tanto el templo como sus ocupantes permanecerán bajo vigilancia permanente y colocaron cámaras de seguridad en la construcción para monitorear cualquier actividad futura, una medida que generó un evidente descontento en Q!Foolish.

⚠️ Nota: Los eventos reportados forman parte del lore o roleplay dentro del servidor QSMP.",https://x.com/QNNbreaking/status/2072189917044629849,tweet,QSMP News Network (QNN),@QNNbreaking,1,0,22,395,6798,33,2026-07-01 01:25:50,"https://pbs.twimg.com/media/HMHlsV4X0AE1PIM.png,https://pbs.twimg.com/media/HMHluK0W4AAkMbX.png",
2066955368488403423,"📢 ANUNCIO

La QSMP Wiki se encuentra buscando nuevos colaboradores para ayudar a mantener actualizada la información de la comunidad hispanohablante.

Actualmente se necesita apoyo para actualizar páginas, documentar eventos importantes, realizar resúmenes de VODs y ayudar a preservar la historia de los distintos personajes y creadores del QSMP.

Se busca especialmente ayuda para las páginas relacionadas con Roier, Aldo y Juan.

Si te gusta el lore, disfrutas organizar información o quieres contribuir a la comunidad, puedes aplicar aquí:

🔗 https://t.co/XuPnHD2cSh

Toda ayuda es bienvenida para seguir documentando la historia del QSMP. 💛",https://x.com/QNNbreaking/status/2066955368488403423,tweet,QSMP News Network (QNN),@QNNbreaking,2,0,35,175,4532,8,2026-06-16 14:45:36,https://pbs.twimg.com/media/HK9MZaAXEAEksWq.png,
2066799441453973818,"🗞️ QNN — ISLA QSMP
🏛️ POLÍTICA

Se reporta que Q!Quackity y Pepino permanecieron bajo custodia de la Federación tras ser separados del resto del grupo durante la operación de rescate.

Según los reportes, mientras se encontraban encerrados, Q!Quackity aprovechó para confrontar directamente a Cucurucho sobre las decisiones tomadas por la Federación a lo largo de los años. Durante la conversación, incluso mencionó la posibilidad de que la creación de la segunda isla estuviera relacionada con una entidad conocida como ""The Eye"".

De acuerdo con lo observado, Cucurucho evitó profundizar en el tema y se limitó a responder que el objetivo de la Federación siempre ha sido mantener el orden, recordando además que tanto Q!Quackity como Pepino son considerados experimentos.

La situación se volvió más tensa cuando Cucurucho le presentó un ultimátum a Q!Quackity. Según los reportes, le ofreció su libertad a cambio de cumplir futuras tareas para la Federación, advirtiéndole que cualquier incumplimiento tendría consecuencias para Pepino. También le dejó claro que, si rechazaba el trato, ambos permanecerían encerrados indefinidamente.

Sin embargo, Q!Quackity se negó a convertirse en un agente de la Federación y aseguró que prefería permanecer cautivo antes que aceptar aquellas condiciones.

La situación cambió inesperadamente con la llegada de Q!YoungMulti. De acuerdo con lo observado, su presencia distrajo a varios trabajadores de la Federación, permitiendo que Pepino lograra escapar utilizando una waystone.

Durante el encuentro, Q!YoungMulti también aprovechó para reclamar un favor que previamente le había sido prometido por la Federación.

Según los reportes, este intercambio hizo que Q!Quackity descubriera que Q!YoungMulti mantiene algún tipo de relación o colaboración con la Federación, algo que aparentemente desconocía hasta ese momento.

Tras ser liberado, Q!Quackity abandonó el lugar visiblemente molesto por la revelación y por todo lo ocurrido durante su cautiverio.

⚠️ Nota: Los eventos reportados forman parte del lore o roleplay dentro del servidor QSMP.",https://x.com/QNNbreaking/status/2066799441453973818,tweet,QSMP News Network (QNN),@QNNbreaking,1,1,33,347,5001,20,2026-06-16 04:26:00,https://pbs.twimg.com/media/HK6_Il3WQAEQx5N.png,
2066798165924229589,"🗞️ QNN — ISLA QSMP
🚨 ALERTA

Se reporta que Q!YoungMulti localizó a Q!Quackity poco después de descubrir el paradero de Pepino, Tomate y Nacho. Según los reportes, ambos compartieron información y rápidamente comenzaron a elaborar un plan para rescatarlos.

De acuerdo con lo observado, la estrategia consistía en utilizar un waystone falso para infiltrarse en la zona donde se encontraba la prisión, mientras Q!KatieB se encargaba de distraer a Dark Cucurucho y sus trabajadores.

La operación logró ponerse en marcha y Q!YoungMulti junto a Q!Quackity consiguieron infiltrarse en la prisión. Según los reportes, utilizaron explosivos para abrirse paso y liberar a Nacho, Tomate y Pepino.

Sin embargo, la huida no salió como esperaban. Mientras intentaban escapar, Fatal Error y varios trabajadores de Dark Cucurucho aparecieron en el lugar y lograron capturarlos nuevamente.

La situación cambió cuando trabajadores de la Federación, acompañados por Cucurucho, intervinieron en el enfrentamiento. De acuerdo con lo observado, las fuerzas de la Federación eliminaron a los trabajadores de Dark Cucurucho presentes y consiguieron rescatar a los prisioneros.

Tras la operación, todos fueron trasladados a una ubicación segura. Allí, Cucurucho se acercó para verificar que se encontraran bien y anunció que podían retirarse.

Sin embargo, hubo dos excepciones.

Según los reportes, Cucurucho impidió que Q!Quackity y Pepino abandonaran el lugar junto al resto del grupo. Ambos fueron retenidos y llevados por la Federación, dejando abiertas nuevas preguntas sobre sus verdaderas intenciones.

⚠️ Nota: Los eventos reportados forman parte del lore o roleplay dentro del servidor QSMP.",https://x.com/QNNbreaking/status/2066798165924229589,tweet,QSMP News Network (QNN),@QNNbreaking,0,0,17,286,3563,22,2026-06-16 04:20:56,"https://pbs.twimg.com/media/HK6954YWIAAntzI.png,https://pbs.twimg.com/media/HK698brW4AAs0D4.png",
2066746041722966046,"🗞️ QNN — ISLA QSMP
💣 CONFLICTO

Se reporta que Q!YoungMulti acudió a revisar la habitación de Nacho dentro de su laboratorio, descubriendo que ya no se encontraba allí.

Según los reportes, comenzó a buscarlo desesperadamente por todas las instalaciones sin éxito, hasta que uno de sus trabajadores le informó lo sucedido. Como prueba, le mostró una grabación de su cámara corporal donde podía verse parte de los acontecimientos relacionados con la desaparición de Nacho y su conexión con Dark Cucurucho.

De acuerdo con lo observado, la grabación también mostraba situaciones que enfurecieron a Q!YoungMulti, incluyendo amenazas dirigidas hacia Nacho. Fuera de control, comenzó a cuestionar a su trabajador por no haber intervenido ni protegido a su hijo. La discusión terminó con Q!YoungMulti asesinando al empleado.

Tras ello, salió inmediatamente en busca de respuestas. Durante la búsqueda se encontró con un Dark Worker y exigió que le devolvieran a Nacho. Al no obtener resultados, también terminó atacando y matando a la entidad, quedándose con el hacha que portaba.

Según los reportes, el estado emocional de Q!YoungMulti continuó deteriorándose. Mientras buscaba pistas sobre el paradero de Nacho, se encontró con Q!Donkaaklijn y Q!Ashswag, a quienes interrogó creyendo que podrían estar involucrados. Ambos negaron cualquier relación con la desaparición, pero aun así Q!YoungMulti los atacó utilizando el hacha obtenida anteriormente.

Más tarde logró reunirse con Q!KatieB.

Durante la conversación, Q!KatieB le confesó que había entregado a Nacho a Dark Cucurucho con la intención de convertirse en su espía, obtener poder y encontrar una forma de ayudar a Pepino y Tomate.

La revelación provocó una fuerte reacción de Q!YoungMulti. Según los reportes, se sintió profundamente traicionado y afirmó que jamás imaginó que la persona de la que debía proteger a Nacho era su propia madre. Mientras Q!KatieB intentaba justificar sus acciones, Q!YoungMulti terminó atacándola.

Sin embargo, antes de morir completamente, Q!KatieB reveló que conocía la ubicación de Nacho, Pepino y Tomate y aseguró poseer fotografías que podían ayudar a encontrarlos.

De acuerdo con lo observado, esta información llevó a Q!YoungMulti a salvarle la vida en el último momento. Aun así, todo apunta a que la confianza entre ambos quedó completamente destruida.

⚠️ Nota: Los eventos reportados forman parte del lore o roleplay dentro del servidor QSMP.",https://x.com/QNNbreaking/status/2066746041722966046,tweet,QSMP News Network (QNN),@QNNbreaking,0,0,40,605,6572,52,2026-06-16 00:53:49,"https://pbs.twimg.com/media/HK6Oe_nXsAA_UV9.png,https://pbs.twimg.com/media/HK6Og5gXoAA9Zms.png,https://pbs.twimg.com/media/HK6Oid7WgAADpqd.png,https://pbs.twimg.com/media/HK6OjzzW4AADDh1.png",
